name_product,inventory,cost,supplier_id
Sweet Potatoes,139,$428.28,8
Chicken Breasts,98,$198.28,2
Peanut Butter Chocolate Clusters,213,$310.59,36
Pepperoni Pizza Rolls,185,$141.94,30
Pork Tenderloin,10,$107.99,39
Aeropress Coffee Maker,220,$300.26,10
Ramen Noodle Soup Cups,223,$433.88,20
V-Neck Sweater,142,$323.81,32
Electric Pressure Washer,153,$144.57,43
Running Shorts,208,$396.03,5
Sriracha Sauce,105,$131.07,15
Portable Leaf Blower,94,$280.43,23
Adjustable Dog Harness,178,$143.10,27
Chocolate Dipped Fruit,21,$246.87,7
Maple Almond Yogurt,189,$382.20,44
Organic Fruit Salad,51,$234.87,26
Vegetable Spiralizer,19,$334.54,21
Mediterranean Olives,41,$137.28,45
Almond Coconut Granola,146,$448.32,36
Bamboo Utensil Set,39,$358.74,12
Cauliflower Crust Pizza,242,$72.59,37
Salsa,98,$53.38,25
Chocolate Mint Cookies,167,$285.11,26
Mushrooms,243,$83.47,39
Avocados,36,$202.72,21
Dried Apricots,26,$140.42,7
Karaoke Microphone,154,$212.45,37
Wireless Mouse,147,$446.63,13
Bamboo Cutting Board,88,$222.79,24
Pumpkin Seeds,149,$239.77,10
Lentil Pasta,154,$401.78,26
Yoga Blocks,43,$69.51,20
Self-Massaging Pillow,179,$282.12,39
Honey Mustard Sauce,230,$236.11,7
Zesty Garlic Hummus,173,$416.15,2
Walnut Halves,116,$442.41,12
Green Smoothie Mix,200,$178.10,34
Tennis Racket,49,$344.58,30
Pumpkin Pancake Mix,30,$329.04,48
Plant-Based Cookbook,97,$359.48,18
Inflatable Paddle Board,23,$395.40,46
Fashionable Belt Bag,68,$289.30,49
Spicy Tuna Rolls,23,$359.88,9
Portable Solar Phone Charger,70,$117.69,46
Savory Oatmeal Cups,43,$299.60,19
Carrot and Celery Sticks,101,$433.70,10
LED Christmas Tree Lights,204,$143.61,24
Teriyaki Chicken Bowl,218,$326.68,15
Folding Exercise Bike,137,$232.02,35
Mediterranean Chickpea Salad,174,$396.13,32
Laptop Sleeve,163,$350.70,29
Classic Beef Chili,144,$402.10,22
Car Vacuum Cleaner,17,$149.88,44
Smartphone Gimbal,107,$305.99,23
Biodegradable Trash Bags,10,$111.59,41
Frozen Mixed Vegetables,235,$387.46,45
Pesto Pasta Sauce,85,$211.22,3
Dark Chocolate Covered Raisins,85,$76.56,36
Portable Solar Generator,16,$121.58,25
Smart Plug,241,$211.80,15
Eco-Friendly Cleaning Cloths,120,$97.06,38
Chewy Granola Bars,132,$215.88,45
Sweet Potato & Kale Hash,88,$253.55,27
Baked Falafel Balls,159,$281.05,4
Hot Salsa,42,$252.21,28
Chic Ankle Strap Heels,231,$310.13,29
Educational STEM Kit,243,$142.82,28
Brazil Nuts,215,$106.13,44
Nail Polish Set,170,$220.62,30
Non-Stick Grill Mat,106,$88.11,22
Honey Graham Crackers,233,$98.11,11
Luxury Rolling Makeup Case,167,$348.60,5
Kids' Art Easel,30,$91.85,37
Personal Blender with Cups,231,$84.96,18
Electric Wine Opener,224,$159.20,15
Non-Stick Crepe Pan,5,$399.72,21
Adjustable Kitchen Broom Stand,202,$111.41,20
Fitness Smartwatch,47,$104.73,33
Spicy Salsa Verde,39,$59.15,34
Peach Preserves,17,$239.69,32
Saffron Rice Mix,39,$257.62,42
Over-Ear Headphones,249,$69.04,19
Watering Can with Nozzle,134,$88.19,50
Organic Almond Flour,105,$263.66,9
Sun-Dried Tomatoes,31,$270.34,18
Feta Cheese Crumbles,118,$430.98,43
Ready-to-Eat Chili,206,$310.25,44
Cinnamon Sugar Mix,161,$345.26,41
Set of Herb Garden Markers,182,$330.28,21
Portable Solar Path Lights,216,$64.20,12
Herbed Couscous,191,$294.44,34
Garlic and Herb Cream Cheese,60,$325.36,18
Bamboo Cotton Tank Top,31,$361.90,24
Potato Wedge Seasoning,48,$186.48,20
Plant Growing Kit,79,$382.09,6
Sliced Bread,151,$387.92,47
Video Camera,145,$387.82,36
Kale Salad with Lemon Dressing,26,$262.74,22
Honey,55,$317.38,7
Organic Whole Grain Oats,35,$207.22,39
Eco-Friendly Beeswax Wraps,159,$264.41,49
Microfiber Cleaning Cloths,194,$346.45,18
Fruit Infuser Water Bottle,234,$188.27,24
Turmeric Ginger Tea,232,$251.97,1
Underwater Camera,168,$190.95,42
USB Flash Drive,27,$193.88,27
Smoked Salmon,27,$113.48,44
Tuna Fish (canned),18,$61.94,42
Hibiscus Herbal Tea,7,$75.03,1
Kids' Art Easel,118,$439.87,12
Basmati Rice,39,$300.24,19
Tea Infuser,191,$220.52,17
Children's Garden Tool Set,246,$358.82,3
Instant Mashed Potatoes,223,$408.64,10
Compressed Towel Tablets,68,$433.21,10
Zesty Garlic Marinade,102,$423.04,10
Natural Peanut Butter,148,$381.69,18
Rolling Cooler,149,$139.17,49
Sweet Potatoes (organic),68,$350.39,21
Collapsible Pet Dog Bowl,26,$202.96,24
Electronic Drum Kit,96,$83.15,11
Spice Rack,234,$367.54,40
Cauliflower Pizza Crust,67,$319.79,18
High-Waisted Skirt,18,$79.31,19
Classic Bagels,54,$444.45,19
Lemon Pepper Seasoning,55,$336.24,33
Digital Camera,220,$361.49,24
Siphon Coffee Maker,135,$422.77,12
Compact Pop-Up Tent,168,$195.72,47
Spicy Roasted Nuts,55,$407.39,37
Water-Resistant Bluetooth Speaker,233,$122.77,16
Savory Breakfast Sausage,169,$153.72,4
Beet Salad,179,$393.69,36
Over-Ear Headphones,33,$273.40,36
Peach Green Tea,105,$438.43,46
Fruit and Nut Bars,241,$428.46,47
Cooking Utensil Set,131,$340.99,12
Italian Sausage and Peppers,205,$356.20,31
Compact Pop-Up Tent,145,$185.31,31
Trendy Bomber Jacket,132,$347.95,49
Adjustable Height Standing Desk Converter,223,$118.24,19
Frozen Mixed Vegetables,217,$84.51,47
Magic Color-Changing Mug,228,$113.59,2
Electric Heating Pad,121,$165.63,16
Wireless Smart Plug,227,$237.28,16
Pet Grooming Glove,222,$332.15,17
Personal Blender with Travel Lid,148,$131.95,38
Comfy Slippers,246,$414.01,47
Puff Pastry,26,$136.37,32
Coconut Cashew Yogurt,212,$421.08,47
Honey Ginger Tea,164,$380.38,4
Workstation Laptop Stand,229,$254.32,48
Buffalo Cauliflower Wings,135,$256.69,35
Classic Black Trousers,14,$427.96,24
Fitness Tracker Band,249,$400.66,39
Suction Cup Hooks,99,$59.00,11
Teriyaki Salmon Fillets,38,$189.36,13
Digital Wireless Meat Thermometer,142,$188.06,29
Pet Camera with Treat Dispenser,55,$320.11,12
Induction Cooktop,36,$161.39,35
Mediterranean Couscous,165,$136.94,48
Eco-Friendly Yoga Mat,6,$185.39,29
Luxury Memory Foam Mattress Topper,144,$256.74,35
Camping Chair with Cooler,74,$263.34,40
Fruit and Nut Medley,230,$296.95,38
Coconut Curry Sauce,119,$103.14,14
Waterproof Rain Boots,29,$187.38,46
Organic Cereal Bars,201,$431.70,47
Creamy Garlic Dressing,7,$191.46,9
Organic Quinoa Salad,177,$72.38,22
Pumpkin Ice Cream,124,$180.39,36
Shredded Cheese,103,$231.28,35
Sriracha Sauce,134,$50.23,10
Chic Ankle Strap Heels,136,$100.92,27
Inspirational Wall Art,244,$56.81,5
Comfort Flats,6,$291.52,5
Sliced Avocado,36,$240.24,15
Electric Griddle with Removable Plates,192,$68.99,29
Bicycle Repair Kit,60,$121.06,30
Wall Art Stickers,153,$62.48,12
Animal Paw Print Soap Dispenser,105,$95.66,40
Mini Fondue Set,229,$86.25,1
Pecan Pie Filling,250,$318.34,1
Protein Pancake Mix,250,$374.37,44
Whole Grain Mustard,216,$377.44,33
Electric Griddle with Lid,241,$247.71,40
Spicy Garlic Edamame,146,$148.84,25
Inflatable Paddle Board,179,$292.55,44
Solar Power Bank,106,$339.56,40
Pumpkin Spice Creamer,139,$150.16,40
Ankle Boots,91,$95.20,19
V-Neck Sweater,243,$87.25,40
Dog Frisbee Toy,60,$433.71,48
Memory Foam Mattress Topper,26,$91.60,12
Vegan Mac & Cheese,139,$410.06,17
Sports Windbreaker,62,$440.18,1
Tomato Paste,238,$305.22,49
Basil Pesto Pasta,179,$177.32,4
Portable Camping Stove,231,$449.22,20
Potato Wedge Seasoning,134,$315.90,13
Memory Foam Pillow,146,$430.34,24
Antique Style Clock,106,$298.22,3
Fleece Throw Blanket,7,$325.75,37
Oven Mitts with Pocket,180,$239.00,14
Cinnamon Raisin Bread,77,$172.53,37
Chicken Fajita Kit,37,$443.92,33
Creamy Spinach Dip,62,$183.51,21
Pumpkin Seeds,171,$193.04,20
Pasta (Fusilli),70,$185.65,33
Over-the-Door Shoe Organizer,226,$221.33,48
Electric Screwdriver,109,$305.52,17
Dark Chocolate Almond Butter Cups,160,$340.79,36
LED Strip Lights Kit,200,$194.27,42
Smart Water Bottle,85,$361.72,44
Italian Sausage and Peppers,13,$65.55,29
Garlic Parmesan Wings,72,$310.24,41
Ice Cream Scoop,107,$433.77,12
Frozen Broccoli,114,$74.93,9
Sliced Strawberries,182,$440.34,10
Ceramic Knife Set,158,$429.28,27
Wooden Toy Train Set,49,$115.36,37
Popcorn Chicken,194,$198.83,30
Herb Garden Planter Box,38,$286.51,31
Travel Eye Mask with Ear Plugs,206,$297.98,34
Travel Pillow,178,$61.62,29
Frozen Spinach,124,$376.06,25
Sour Cream,211,$160.88,25
Organic Vanilla Bean Ice Cream,169,$117.38,22
Inflatable Pool Float,229,$222.19,10
Pleated Midi Dress,247,$316.72,25
Pocket Blanket,111,$74.18,42
Wall Decals for Kids,67,$423.64,43
Almond Flour Biscuits,27,$262.57,1
Sweet Cherry Tomatoes,160,$180.31,36
Whole Roasted Chicken,35,$353.55,31
Spinach Artichoke Dip,177,$309.39,25
Plant-Based Cookbook,72,$302.34,36
Flavored Rice Cakes,60,$154.11,50
Infrared Space Heater,135,$355.24,16
Avocado Oil,23,$76.93,50
Fashionable Belt Bag,72,$215.96,22
Radish Chips,113,$401.24,15
Portable Camping Stove,79,$329.71,27
Spinach and Cheese Stuffed Shells,23,$264.66,1
Vegetarian Stuffed Peppers,169,$81.01,45
Herbed Mushroom Risotto,41,$81.77,23
Magnetic Whiteboard,173,$180.55,31
Spinach and Ricotta Ravioli,186,$206.54,8
DIY Candle Making Kit,69,$75.16,6
Electric Wax Warmer,55,$423.07,24
Dog Collar,187,$223.84,20
Magnetic Spice Jars,30,$209.74,25
Mini Pretzels,97,$409.73,18
Portable UV Sterilizer,92,$287.84,22
Two-Tone Windbreaker,35,$440.82,12
Wireless Gaming Mouse,223,$242.22,17
Almond Butter Cups,84,$185.82,36
Classic Leather Wallet,133,$79.41,46
Multi-Layer Food Steamer,91,$263.73,48
Smartphone Tripod with Bluetooth Remote,240,$169.18,6
Coconut Curry Lentil Soup,238,$134.16,32
Peanut Butter Protein Balls,117,$251.21,14
Lentil Vegetable Curry,101,$223.88,17
Samsung Galaxy Smartwatch,75,$113.44,49
Classic Watch,76,$70.61,23
Microfiber Cleaning Cloths,211,$89.87,35
Digital Kitchen Timer,81,$227.05,44
Pumpkin Spice Granola,43,$74.45,35
Over-the-Door Hooks,204,$201.67,33
Dried Mango Slices,236,$150.24,27
Electric Food Slicer,28,$241.61,47
Comfy Slippers,145,$432.34,49
Cinnamon Rolls,39,$339.13,12
Action Camera,236,$151.74,22
Electric Ice Cream Maker,242,$286.65,43
Portable Solar Charger,197,$104.32,13
Mayonnaise,1,$428.88,45
Thai Basil Fried Rice,147,$56.59,10
Mini Indoor Hydroponic Garden,233,$120.47,26
Homestyle Chicken Noodle Soup,51,$104.39,27
Jennifer's Amazing Lip Balm Kit,233,$362.10,43
Savory Italian Herbs,169,$443.56,46
Savory Rice Cakes,48,$91.87,49
Vegetarian Stuffed Peppers,70,$394.01,1
Pistachios,243,$100.25,31
Caramel Sauce,217,$206.80,4
Toilet Paper (12 rolls),210,$170.95,45
Mediterranean Couscous Salad,50,$246.69,49
Sesame Garlic Noodles,55,$393.46,34
Portable Solar Charger,147,$315.25,45
Portable Hammock Swing,247,$207.09,1
Sporty Leggings,194,$386.45,45
Smart Wi-Fi Camera,187,$391.29,17
Portable Bluetooth Keyboard,216,$303.51,25
Portable Solar Generator,102,$324.67,7
Sea Salt Caramel Popcorn,110,$259.93,49
Mini Cordless Vacuum Cleaner,174,$383.03,36
Quinoa & Black Bean Salad,138,$371.57,23
Overnight Duffle Bag,249,$114.11,24
Sliced Bell Peppers,113,$250.27,7
Stainless Steel Grater,139,$191.85,7
Self-Stirring Mug,211,$203.28,10
Bamboo Utensil Holder,59,$327.24,38
Screen Cleaning Kit,101,$370.75,47
Rechargeable Electric Screwdriver,218,$126.83,12
Pet Hair Removal Roller,248,$333.73,38
Crew Neck Sweater,145,$217.18,38
Kale & Quinoa Salad Mix,152,$343.07,34
Home Cleaning Robot,154,$273.91,38
Non-Stick Grill Pan,115,$88.28,23
Pumpkin Seeds,60,$312.42,27
Homestyle Beef Stew,70,$64.68,27
Chili Con Carne Mix,64,$217.68,31
Bamboo Cutting Board,249,$75.38,48
Silicone Baking Cups,110,$423.87,18
Chocolate Fudge Ice Cream,234,$147.50,30
Outdoor Camping Hammock,51,$115.31,27
Balsamic Fig Dressing,113,$447.61,30
Solar Power Bank,106,$188.56,40
Air Purifier,211,$351.66,8
Hot Dog Buns,176,$209.19,30
Weighted Jump Rope with Counter,151,$413.37,46
Frozen Edamame,27,$382.82,10
Cauliflower Rice Stir-Fry,91,$329.65,21
Margherita Pizza,119,$121.40,3
Knitted Infinity Scarf,33,$60.40,2
Canvas Tote Bag,11,$234.29,46
Vegetable Sushi Rolls,247,$386.32,11
Mini Indoor Hydroponic Garden,87,$152.02,44
Chili Con Carne Mix,19,$415.72,50
Inflatable Party Cooler,37,$132.87,40
